contributor,family,species,age.yr,a.stba.cm,a.stbh.cm,a.stbc.cm,h.t.m,h.c.m,m.lf.g,m.st.g,m.rf.g,m.rc.g,m.rt.g,lf.ma.g.m2,d.st.g.cm3,n.lf.per,n.ss.per,n.rf.per,n.rc.per,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai.m2.m2,map,mat,reference
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.54,,,0.09,,1.48,1.04,0.72,0.1,0.82,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.45,,,0.32,,1.92,2.26,0.65,0.1,0.75,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.41,,,0.33,,0.93,0.57,0.75,0,0.75,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.38,,,0.54,,1.72,1.69,1.56,0,1.56,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.3,,,0.08,,0.94,1.25,0.56,0,0.56,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.3,,,,,0.92,0.69,0.68,0,0.68,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.26,,,0.41,,0.24,0.5,0.17,0,0.17,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.23,,,0.07,,0.59,0.35,0.42,0,0.42,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.23,,,0.28,,0.44,0.47,0.45,0,0.45,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.22,,,0.28,,0.52,0.25,0.32,0,0.32,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.22,,,0.3,,0.42,0.33,0.94,0,0.94,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.21,,,0.33,,0.34,0.28,0.21,0,0.21,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.21,,,0.32,,0.38,0.29,,,,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.19,,,0.54,,0.2,0.33,0.1,0,0.1,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.17,,,0.33,,0.27,0.22,0.1,0,0.1,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.17,,,0.33,,0.25,0.16,,,,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.16,,,0.31,,0.34,0.26,0.13,0,0.13,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga bancana,mostly less than 20,0.16,,,0.1,,0.43,0.24,0.12,0,0.12,,0.31,2.655,0.228,0.476,0.206,EA,FW,0,Open condition (road side),Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga beccariana,mostly less than 20,12.42,10.3,5.99,13.85,,1172.91,20285.27,1551.43,3310.58,4862.01,,0.29,1.927,,,0.342,EA,FW,3,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga beccariana,mostly less than 20,7.2,5.91,3.82,8.5,,651.62,4247.46,128.67,1010.08,1138.75,,0.29,1.927,,,0.342,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga beccariana,mostly less than 20,5.48,4.46,3.5,7.5,,358.39,1777.1,44.11,351.69,395.8,,0.29,1.927,,,0.342,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga beccariana,mostly less than 20,3.82,3.07,2.93,5.2,,267.16,1708.75,238.95,197.3,436.25,,0.29,1.927,,,0.342,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga beccariana,mostly less than 20,1.37,1,1.02,1.7,,22.81,41.5,30.44,17.79,48.23,,0.29,1.927,,,0.342,EA,FW,1,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,31.85,28.66,,20.9,,10252.1,304019.31,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,24.46,20.43,,17,,10865.74,107333.73,2455.7,21973.54,24429.24,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,24.2,23.25,,21.4,,4709.44,178928.03,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,22.61,21.97,,22,,5071.71,170219.14,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,19.11,18.15,,18.6,,3332.84,93686.51,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,12.74,12.1,,12.4,,3405.29,34096.61,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,10.83,10.51,,8.7,,2064.91,17892.8,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,9.55,9.55,,10.6,,1123.02,15095.4,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,8.28,7.32,,10,,398.49,10028.41,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,3,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,7.26,5.96,,7.7,,778.68,7713.77,264.69,1207.71,1472.4,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,7.23,5.93,,8,,781.94,6957.04,176.46,1542.1,1718.56,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,6.37,6.37,,6.8,,398.49,4011.37,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,5.67,4.62,,5.45,,651.62,3124.57,88.23,658.25,746.48,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,5.29,4.3,,4.4,,332.33,1781.98,51.47,509.31,560.78,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,4.97,4.03,,5.04,,244.36,1659.93,40.44,329.27,369.71,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,2,,Secondary forest along logging road,Sungai Liku,4.233333333,114.0666667,TropRF,approx. 3.5-4.5,2400,26.3,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
Kenzo 2009,Euphorbiaceae,Macaranga gigantea,mostly less than 20,4.78,3.5,,4.3,,253.59,1213.97,,,,65.5,0.29,2.722,0.164,0.21,0.57,EA,FW,1,Open condition (road side),Secondary forest after swidden cultivation,Niah Forest Researve,3.65,113.7,TropRF,approx. 3.5-4.5,2800,27,"KENZO T, ICHIE T, HATTORI D, ITIOKA T, HANDA C, OHKUBO T, KENDAWANG JJ, NAKAMURA M, SAKAGUCHI M, TAKAHASHI N, OKAMOTO M, TANAKA-ODA A, SAKURAI K & NINOMIYA I. 2009. Development of allometric relationships for accurate estimation of above- and below-ground biomass in tropical secondary forests in Sarawak, Malaysia. Journal of Tropical Ecology 25: 371-386."
