,,,years,cm2,cm,cm,cm,cm,g,g,g,g,g,g,g.m2,g/l,g/m2,,,% PPFD,,-,,,,mm,oC,,years,-
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,588.7,0.67,,81,,1.8,4.73,1,7.44,4.34,11.78,30.59,0.95,0.681,DA,FE,14.23,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,57
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,4,2847.1,1.24,71.5,112,99,10.26,16.43,6.61,0.45,6.59,7.04,36.38,0.91,1.001,DA,FE,14.14,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,61
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,6,354.3,0.52,38.5,48,19,1.08,1.56,0.53,15.13,4.76,19.89,30.59,0.84,0.874,DA,FE,3.33,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,63
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,7,5421.2,1.62,110,139,72,16.51,48.6,27.38,0.16,27.18,27.34,28.67,0.87,0.674,DA,FE,8.83,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,69
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,98.4,0.6,22.5,53,26,0.3,1.25,0.09,15.06,9.5,24.56,30.4,0.95,0.687,DA,FE,5.92,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,71
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,8,15257,2.85,189,,115,37.52,208.61,209.44,13.85,94.8,108.65,23.77,0.93,0.703,DA,FE,1.7,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,76
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,13,10804.2,2.81,144,239,135,26.13,172.46,72.64,1.23,72.61,73.84,24.04,0.86,0.82,DA,FE,1,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,82
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,765.5,0.64,36,60,36,1.73,2.78,1.39,11.87,10.62,22.49,22.16,0.79,0.752,DA,FE,0.5,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,83
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,8660.8,2.4,138.5,212,128,18.78,82.82,74.76,16.46,56.16,72.62,22,0.85,0.729,DA,FE,1.3,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,87
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,8,12963.1,2.43,144.5,223,115,36.85,112.76,53.51,3.8,63.51,67.31,26.48,0.9,0.824,DA,FE,5.9,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,92
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,2903.2,1.42,81.5,176.5,99,8.22,36.31,14.29,15.08,20.35,35.43,27.14,0.85,0.874,DA,FE,13.5,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,109
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,9,8552.4,2.05,142.5,332,133,23.07,141.97,25.29,7.09,44.36,51.45,26.45,0.88,0.695,DA,FE,8.4,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,120
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,9,3254,1.57,105,200,64,7.69,54.19,21.86,20.62,30.84,51.46,22.21,0.87,0.673,DA,FE,1.31,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,128
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,11,7484.7,2.24,120.5,353,161,22.13,179.04,37.63,13.02,40.72,53.74,30.24,1.04,0.89,DA,FE,4.09,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,131
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,6753.5,1.97,135,244,74,20.74,96.81,41.18,2.9,30.33,33.23,29.73,0.98,0.92,DA,FE,6.2,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,132
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,,1769.9,0.96,99,147,76,3.76,22.26,6.35,2.85,5.35,8.2,20.65,0.93,0.637,DA,FE,1.01,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,135
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,11,1656.8,1.42,87,195,44,4.51,36.16,4.74,2.85,9.31,12.16,26.4,1.06,0.72,DA,FE,3.08,Shaded individuals,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,139
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,2771.1,1.49,97,191,99,9.11,41.36,6.93,7.54,9.71,17.25,30.39,0.84,0.95,DA,FW,17.05,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,379
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,4148.9,1.48,85.5,174,133,12.46,49.15,14.93,5.26,21.23,26.49,29.78,0.89,0.951,DA,FW,16.07,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,383
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,3362.3,1.31,107,205,145,10.15,46.09,10.64,5.79,20,25.79,27.38,0.82,0.929,DA,FW,26.15,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,396
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,3697.1,1.34,85.5,134.5,111,14.11,28.26,11.68,0.36,9.2,9.56,35.16,0.87,0.871,DA,FW,16.22,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,407
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,449.5,0.65,30.5,62,42,1.76,3.6,0.75,0.53,1.68,2.21,35.05,0.87,,DA,FW,5.27,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,449
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,212.1,0.51,23.5,55,21,0.45,1.8,0.41,1.62,1.98,3.6,20.98,0.88,0.66,DA,FW,0.34,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,560
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,6,1317,0.87,55,106,70,3.05,9.16,2.55,0.16,1.67,1.83,21.58,0.88,0.762,DA,FW,0.77,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,567
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,4,,0.44,24,62,31,0.85,1.62,0.25,3.03,2.88,5.91,,0.82,0.868,DA,FW,1.92,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,570
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,975.6,0.77,71,77,37,4.22,6.25,2.58,6.18,5.68,11.86,43.97,0.92,1.104,DA,FW,10.32,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,649
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,7,2075.9,1.11,70,121,73,7.36,13.75,5.19,0.25,4.37,4.62,35.19,0.88,0.954,DA,FW,4.31,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,659
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,5,2832.3,1.56,74,160,72,10.58,35.73,10.06,4.07,12.31,16.38,36.48,0.88,0.901,DA,FW,22.69,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",5,354
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,14,24889.4,3.31,184,359,271,57.64,309.34,117.04,18.08,168.88,186.96,26.48,0.84,0.931,DA,FW,4.6,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,219
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,8,7387.8,1.99,150.5,154,71,26.39,51.25,46.8,12.74,99.18,111.92,33.15,0.88,1.117,DA,FW,2.2,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,224
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,16,24472,5.03,268,264,280,155.76,868.83,413.64,51.03,447.93,498.96,34.34,0.99,0.987,DA,FW,6,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,231
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,11,1758.4,0.94,94.5,161,29,4.76,16.56,4.03,3.37,3.97,7.34,28.62,0.82,0.838,DA,FW,0.9,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,242
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,18,13444.7,3.11,177,268,141,36.01,140.45,93.62,5.87,77.22,83.09,26.4,0.82,0.946,DA,FW,1.2,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,268
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,11,9448.4,3.42,150.5,369,178,37.69,251.52,49.98,18.15,89,107.15,39.26,0.89,1.183,DA,FW,14.5,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,50
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,9,10235.9,3.08,143,389,181,33.51,285.29,46.34,18.24,103.02,121.26,33.02,0.87,1.028,DA,FW,23.1,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,101
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,11434.7,2.43,104.5,262,174,46,147.94,62.66,21.35,75.82,97.17,41.96,0.9,0.998,DA,FW,9.3,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,104
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,10,19943.4,3.64,200.5,466,210,77.26,643.15,225.55,52.15,220.96,273.11,35.37,0.82,1.187,DA,FW,13.9,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,143
Sylvain Delagrange,Betulaceae ,Betula alleghaniensis,11,26637.1,3.63,182.5,575,317,107.34,687.69,229.12,49.33,350.6,399.93,37.83,0.96,1.068,DA,FW,31.7,Natural conditions,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,"Sylvain Delagrange, Christian Messier, Martin J. Lechowicz et Pierre Dizengremel. 2004. Physiological, Morphological and Allocational Plasticity in Understory Deciduous Trees: Importance of Plant Size and Light Availability. Tree physiology. vol. 24, p. 775-784.",10,173
